start,goal,net_add,net_del,net_temp,full_path,path,action,a_star_cost,a_star_ops,a_star_add,a_star_del,a_star_temp
3*6*12|1,1*5*7|1,3,3,0,[3*6*12|1]~~{(+1  5  7)}~~>[1*5*7|1],[3*6*12|1]~>[1*5*7|1],{(+1  5  7)}~,31.0,1,3,0,0
3*6*12|1,4*5*7|1,3,3,0,[3*6*12|1]~~{(+4  5  7)}~~>[4*5*7|1],[3*6*12|1]~>[4*5*7|1],{(+4  5  7)}~,31.0,1,3,0,0
3*6*12|1,1*4*5*7|1,4,3,0,[3*6*12|1]~~{(+1  4  5  7)}~~>[1*4*5*7|1],[3*6*12|1]~>[1*4*5*7|1],{(+1  4  5  7)}~,41.0,1,4,0,0
3*6*12|1,1*6*7|1,,,,N/A,N/A,N/A,,,,,
3*6*12|1,4*6*7|1,2,2,0,[3*6*12|1]~~{(+4  7)}~~>[4*6*7|1],[3*6*12|1]~>[4*6*7|1],{(+4  7)}~,21.0,1,2,0,0
3*6*12|1,4*8|1,,,,N/A,N/A,N/A,,,,,
3*6*12|1,2*5*8|1,,,,N/A,N/A,N/A,,,,,
3*6*12|1,6*8|1,,,,N/A,N/A,N/A,,,,,
3*6*12|1,3*4*6*8|1,2,1,0,[3*6*12|1]~~{(+4  8)}~~>[3*4*6*8|1],[3*6*12|1]~>[3*4*6*8|1],{(+4  8)}~,21.0,1,2,0,0
3*6*12|1,3*4*5*6*8|1,3,1,0,[3*6*12|1]~~{(+8)}~~>[3*6*8|1]~~{(+4  5)}~~>[3*4*5*6*8|1],[3*6*12|1]~>[3*6*8|1]~>[3*4*5*6*8|1],{(+8)}~{(+4  5)}~,32.0,2,3,0,0
3*6*12|1,2*9|1,,,,N/A,N/A,N/A,,,,,
3*6*12|1,1*2*9|1,,,,N/A,N/A,N/A,,,,,
3*6*12|1,1*4*9|1,3,3,0,[3*6*12|1]~~{(+1  4  9)}~~>[1*4*9|1],[3*6*12|1]~>[1*4*9|1],{(+1  4  9)}~,31.0,1,3,0,0
3*6*12|1,5*9|1,,,,N/A,N/A,N/A,,,,,
3*6*12|1,1*5*9|1,3,3,0,[3*6*12|1]~~{(+1  5  9)}~~>[1*5*9|1],[3*6*12|1]~>[1*5*9|1],{(+1  5  9)}~,31.0,1,3,0,0
3*6*12|1,1*4*5*9|1,4,3,0,[3*6*12|1]~~{(+1  4  5  9)}~~>[1*4*5*9|1],[3*6*12|1]~>[1*4*5*9|1],{(+1  4  5  9)}~,41.0,1,4,0,0
3*6*12|1,4*5*7*9|1,4,3,0,[3*6*12|1]~~{(+4  5  7  9)}~~>[4*5*7*9|1],[3*6*12|1]~>[4*5*7*9|1],{(+4  5  7  9)}~,41.0,1,4,0,0
3*6*12|1,10|1,,,,N/A,N/A,N/A,,,,,
3*6*12|1,2*5*10|1,,,,N/A,N/A,N/A,,,,,
3*6*12|1,2*7*10|1,,,,N/A,N/A,N/A,,,,,
3*6*12|1,5*7*10|1,3,3,0,[3*6*12|1]~~{(+5  7  10)}~~>[5*7*10|1],[3*6*12|1]~>[5*7*10|1],{(+5  7  10)}~,31.0,1,3,0,0
3*6*12|1,4*8*10|1,,,,N/A,N/A,N/A,,,,,
3*6*12|1,6*8*10|1,,,,N/A,N/A,N/A,,,,,
3*6*12|1,3*4*5*6*8*10|1,4,1,0,[3*6*12|1]~~{(+8)}~~>[3*6*8|1]~~{(+4  5  10)}~~>[3*4*5*6*8*10|1],[3*6*12|1]~>[3*6*8|1]~>[3*4*5*6*8*10|1],{(+8)}~{(+4  5  10)}~,42.0,2,4,0,0
3*6*12|1,3*4*9*10|1,3,2,0,[3*6*12|1]~~{(+4  9  10)}~~>[3*4*9*10|1],[3*6*12|1]~>[3*4*9*10|1],{(+4  9  10)}~,31.0,1,3,0,0
3*6*12|1,5*9*10|1,,,,N/A,N/A,N/A,,,,,
3*6*12|1,5*7*9*10|1,4,3,0,[3*6*12|1]~~{(+5  7  9  10)}~~>[5*7*9*10|1],[3*6*12|1]~>[5*7*9*10|1],{(+5  7  9  10)}~,41.0,1,4,0,0
3*6*12|1,4*5*7*9*10|1,5,3,0,[3*6*12|1]~~{(+4  5  7  9  10)}~~>[4*5*7*9*10|1],[3*6*12|1]~>[4*5*7*9*10|1],{(+4  5  7  9  10)}~,51.0,1,5,0,0
3*6*12|1,6*8*9*10|1,,,,N/A,N/A,N/A,,,,,
3*6*12|1,7*11|1,,,,N/A,N/A,N/A,,,,,
3*6*12|1,8*11|1,,,,N/A,N/A,N/A,,,,,
3*6*12|1,10*11|1,,,,N/A,N/A,N/A,,,,,
3*6*12|1,2*10*11|1,,,,N/A,N/A,N/A,,,,,
3*6*12|1,12|1,,,,N/A,N/A,N/A,,,,,
3*6*12|1,2*12|1,,,,N/A,N/A,N/A,,,,,
3*6*12|1,1*3*12|1,,,,N/A,N/A,N/A,,,,,
3*6*12|1,4*12|1,,,,N/A,N/A,N/A,,,,,
3*6*12|1,1*2*5*12|1,,,,N/A,N/A,N/A,,,,,
3*6*12|1,3*4*5*12|1,2,1,0,[3*6*12|1]~~{(+4  5)}~~>[3*4*5*12|1],[3*6*12|1]~>[3*4*5*12|1],{(+4  5)}~,21.0,1,2,0,0
3*6*12|1,1*3*4*5*12|1,3,1,0,[3*6*12|1]~~{(+1  4  5)}~~>[1*3*4*5*12|1],[3*6*12|1]~>[1*3*4*5*12|1],{(+1  4  5)}~,31.0,1,3,0,0
3*6*12|1,4*6*12|1,,,,N/A,N/A,N/A,,,,,
3*6*12|1,9*11*12|1,,,,N/A,N/A,N/A,,,,,
3*6*12|1,6*9*10*11*12|1,,,,N/A,N/A,N/A,,,,,
4*6*12|1,1*4|1,,,,N/A,N/A,N/A,,,,,
4*6*12|1,3*4|1,,,,N/A,N/A,N/A,,,,,
4*6*12|1,1*3*4|1,,,,N/A,N/A,N/A,,,,,
4*6*12|1,5|1,,,,N/A,N/A,N/A,,,,,
4*6*12|1,3*4*5|1,,,,N/A,N/A,N/A,,,,,
4*6*12|1,1*6|1,,,,N/A,N/A,N/A,,,,,
4*6*12|1,3*4*6|1,,,,N/A,N/A,N/A,,,,,
4*6*12|1,1*3*4*6|1,2,1,0,[4*6*12|1]~~{(+1  3)}~~>[1*3*4*6|1],[4*6*12|1]~>[1*3*4*6|1],{(+1  3)}~,21.0,1,2,0,0
4*6*12|1,3*4*5*6|1,,,,N/A,N/A,N/A,,,,,
4*6*12|1,1*6*7|1,,,,N/A,N/A,N/A,,,,,
4*6*12|1,2*6*7|1,,,,N/A,N/A,N/A,,,,,
4*6*12|1,3*6*7|1,,,,N/A,N/A,N/A,,,,,
4*6*12|1,1*3*6*7|1,,,,N/A,N/A,N/A,,,,,
4*6*12|1,8|1,,,,N/A,N/A,N/A,,,,,
4*6*12|1,4*8|1,,,,N/A,N/A,N/A,,,,,
4*6*12|1,3*4*8|1,,,,N/A,N/A,N/A,,,,,
4*6*12|1,6*8|1,,,,N/A,N/A,N/A,,,,,
4*6*12|1,3*6*8|1,,,,N/A,N/A,N/A,,,,,
4*6*12|1,4*6*8|1,1,1,0,[4*6*12|1]~~{(+8)}~~>[4*6*8|1],[4*6*12|1]~>[4*6*8|1],{(+8)}~,11.0,1,1,0,0
4*6*12|1,2*9|1,,,,N/A,N/A,N/A,,,,,
4*6*12|1,2*5*9|1,,,,N/A,N/A,N/A,,,,,
4*6*12|1,1*2*7*9|1,,,,N/A,N/A,N/A,,,,,
4*6*12|1,1*3*7*9|1,,,,N/A,N/A,N/A,,,,,
4*6*12|1,1*4*7*9|1,3,2,0,[4*6*12|1]~~{(+1  7  9)}~~>[1*4*7*9|1],[4*6*12|1]~>[1*4*7*9|1],{(+1  7  9)}~,31.0,1,3,0,0
4*6*12|1,5*7*9|1,,,,N/A,N/A,N/A,,,,,
4*6*12|1,1*4*5*7*9|1,4,2,0,[4*6*12|1]~~{(+1  5  7  9)}~~>[1*4*5*7*9|1],[4*6*12|1]~>[1*4*5*7*9|1],{(+1  5  7  9)}~,41.0,1,4,0,0
4*6*12|1,2*5*10|1,,,,N/A,N/A,N/A,,,,,
4*6*12|1,2*5*8*10|1,,,,N/A,N/A,N/A,,,,,
4*6*12|1,3*4*6*8*10|1,3,1,0,[4*6*12|1]~~{(+3  8  10)}~~>[3*4*6*8*10|1],[4*6*12|1]~>[3*4*6*8*10|1],{(+3  8  10)}~,31.0,1,3,0,0
4*6*12|1,3*4*9*10|1,3,2,0,[4*6*12|1]~~{(+3  9  10)}~~>[3*4*9*10|1],[4*6*12|1]~>[3*4*9*10|1],{(+3  9  10)}~,31.0,1,3,0,0
4*6*12|1,5*9*10|1,,,,N/A,N/A,N/A,,,,,
4*6*12|1,6*9*10|1,,,,N/A,N/A,N/A,,,,,
4*6*12|1,7*9*10|1,,,,N/A,N/A,N/A,,,,,
4*6*12|1,2*7*9*10|1,,,,N/A,N/A,N/A,,,,,
4*6*12|1,5*7*9*10|1,,,,N/A,N/A,N/A,,,,,
4*6*12|1,11|1,,,,N/A,N/A,N/A,,,,,
4*6*12|1,7*11|1,,,,N/A,N/A,N/A,,,,,
4*6*12|1,2*9*11|1,,,,N/A,N/A,N/A,,,,,
4*6*12|1,7*9*11|1,,,,N/A,N/A,N/A,,,,,
4*6*12|1,2*8*10*11|1,,,,N/A,N/A,N/A,,,,,
4*6*12|1,5*12|1,,,,N/A,N/A,N/A,,,,,
4*6*12|1,1*3*4*5*12|1,3,1,0,[4*6*12|1]~~{(+1  3  5)}~~>[1*3*4*5*12|1],[4*6*12|1]~>[1*3*4*5*12|1],{(+1  3  5)}~,31.0,1,3,0,0
4*6*12|1,3*6*12|1,,,,N/A,N/A,N/A,,,,,
4*6*12|1,2*7*12|1,,,,N/A,N/A,N/A,,,,,
3*4*6*12|1,1|1,,,,N/A,N/A,N/A,,,,,
3*4*6*12|1,1*4|1,,,,N/A,N/A,N/A,,,,,
3*4*6*12|1,3*4|1,,,,N/A,N/A,N/A,,,,,
3*4*6*12|1,4*5|1,,,,N/A,N/A,N/A,,,,,
3*4*6*12|1,6|1,,,,N/A,N/A,N/A,,,,,
3*4*6*12|1,1*6|1,,,,N/A,N/A,N/A,,,,,
3*4*6*12|1,2*6|1,,,,N/A,N/A,N/A,,,,,
3*4*6*12|1,3*6|1,,,,N/A,N/A,N/A,,,,,
3*4*6*12|1,1*4*6|1,,,,N/A,N/A,N/A,,,,,
3*4*6*12|1,3*4*6|1,,,,N/A,N/A,N/A,,,,,
3*4*6*12|1,7|1,,,,N/A,N/A,N/A,,,,,
3*4*6*12|1,1*7|1,,,,N/A,N/A,N/A,,,,,
3*4*6*12|1,1*2*7|1,,,,N/A,N/A,N/A,,,,,
3*4*6*12|1,3*7|1,,,,N/A,N/A,N/A,,,,,
3*4*6*12|1,1*3*7|1,,,,N/A,N/A,N/A,,,,,
3*4*6*12|1,1*4*7|1,2,3,0,[3*4*6*12|1]~~{(+1  7)}~~>[1*4*6*7|1]~~{(-6)}~~>[1*4*7|1],[3*4*6*12|1]~>[1*4*6*7|1]~>[1*4*7|1],{(+1  7)}~{(-6)}~,22.1,2,2,1,0
3*4*6*12|1,5*7|1,,,,N/A,N/A,N/A,,,,,
3*4*6*12|1,1*4*5*7|1,3,3,0,[3*4*6*12|1]~~{(+1  5  7)}~~>[1*4*5*7|1],[3*4*6*12|1]~>[1*4*5*7|1],{(+1  5  7)}~,31.0,1,3,0,0
3*4*6*12|1,3*6*7|1,,,,N/A,N/A,N/A,,,,,
3*4*6*12|1,1*3*6*7|1,,,,N/A,N/A,N/A,,,,,
3*4*6*12|1,1*4*6*7|1,2,2,0,[3*4*6*12|1]~~{(+1  7)}~~>[1*4*6*7|1],[3*4*6*12|1]~>[1*4*6*7|1],{(+1  7)}~,21.0,1,2,0,0
3*4*6*12|1,8|1,,,,N/A,N/A,N/A,,,,,
3*4*6*12|1,2*6*8|1,,,,N/A,N/A,N/A,,,,,
3*4*6*12|1,3*5*6*8|1,,,,N/A,N/A,N/A,,,,,
3*4*6*12|1,9|1,,,,N/A,N/A,N/A,,,,,
3*4*6*12|1,3*9|1,,,,N/A,N/A,N/A,,,,,
3*4*6*12|1,1*3*9|1,,,,N/A,N/A,N/A,,,,,
3*4*6*12|1,3*4*9|1,1,2,0,[3*4*6*12|1]~~{(+9)}~~>[3*4*9|1],[3*4*6*12|1]~>[3*4*9|1],{(+9)}~,11.0,1,1,0,0
3*4*6*12|1,6*9|1,,,,N/A,N/A,N/A,,,,,
3*4*6*12|1,7*9|1,,,,N/A,N/A,N/A,,,,,
3*4*6*12|1,1*4*7*9|1,3,3,0,[3*4*6*12|1]~~{(+1  7  9)}~~>[1*4*7*9|1],[3*4*6*12|1]~>[1*4*7*9|1],{(+1  7  9)}~,31.0,1,3,0,0
3*4*6*12|1,1*2*10|1,,,,N/A,N/A,N/A,,,,,
3*4*6*12|1,4*10|1,,,,N/A,N/A,N/A,,,,,
3*4*6*12|1,1*4*10|1,,,,N/A,N/A,N/A,,,,,
3*4*6*12|1,5*10|1,,,,N/A,N/A,N/A,,,,,
3*4*6*12|1,4*5*10|1,,,,N/A,N/A,N/A,,,,,
3*4*6*12|1,2*7*10|1,,,,N/A,N/A,N/A,,,,,
3*4*6*12|1,2*8*10|1,,,,N/A,N/A,N/A,,,,,
3*4*6*12|1,4*5*6*8*10|1,,,,N/A,N/A,N/A,,,,,
3*4*6*12|1,2*5*9*10|1,,,,N/A,N/A,N/A,,,,,
3*4*6*12|1,4*5*9*10|1,3,3,0,[3*4*6*12|1]~~{(+5  9  10)}~~>[4*5*9*10|1],[3*4*6*12|1]~>[4*5*9*10|1],{(+5  9  10)}~,31.0,1,3,0,0
3*4*6*12|1,2*7*9*10|1,,,,N/A,N/A,N/A,,,,,
3*4*6*12|1,1*11|1,,,,N/A,N/A,N/A,,,,,
3*4*6*12|1,7*11|1,,,,N/A,N/A,N/A,,,,,
3*4*6*12|1,2*9*11|1,,,,N/A,N/A,N/A,,,,,
3*4*6*12|1,2*10*11|1,,,,N/A,N/A,N/A,,,,,
3*4*6*12|1,2*8*10*11|1,,,,N/A,N/A,N/A,,,,,
3*4*6*12|1,9*10*11|1,,,,N/A,N/A,N/A,,,,,
3*4*6*12|1,8*9*10*11|1,,,,N/A,N/A,N/A,,,,,
3*4*6*12|1,1*2*5*12|1,,,,N/A,N/A,N/A,,,,,
3*4*6*12|1,6*12|1,,,,N/A,N/A,N/A,,,,,
3*4*6*12|1,4*6*12|1,,,,N/A,N/A,N/A,,,,,
3*4*6*12|1,1*2*7*12|1,,,,N/A,N/A,N/A,,,,,
3*4*6*12|1,6*9*12|1,,,,N/A,N/A,N/A,,,,,
3*4*6*12|1,11*12|1,,,,N/A,N/A,N/A,,,,,
2*7*12|1,3|1,,,,N/A,N/A,N/A,,,,,
2*7*12|1,1*2*5|1,,,,N/A,N/A,N/A,,,,,
2*7*12|1,4*5|1,,,,N/A,N/A,N/A,,,,,
2*7*12|1,2*6|1,,,,N/A,N/A,N/A,,,,,
2*7*12|1,1*3*6|1,,,,N/A,N/A,N/A,,,,,
2*7*12|1,4*6|1,,,,N/A,N/A,N/A,,,,,
2*7*12|1,1*4*6|1,,,,N/A,N/A,N/A,,,,,
2*7*12|1,1*3*5*6|1,,,,N/A,N/A,N/A,,,,,
2*7*12|1,1*7|1,,,,N/A,N/A,N/A,,,,,
2*7*12|1,1*3*7|1,2,2,0,[2*7*12|1]~~{(+1  3)}~~>[1*3*7|1],[2*7*12|1]~>[1*3*7|1],{(+1  3)}~,21.0,1,2,0,0
2*7*12|1,4*5*7|1,2,2,0,[2*7*12|1]~~{(+4  5)}~~>[4*5*7|1],[2*7*12|1]~>[4*5*7|1],{(+4  5)}~,21.0,1,2,0,0
2*7*12|1,6*7|1,,,,N/A,N/A,N/A,,,,,
2*7*12|1,1*2*6*7|1,2,1,0,[2*7*12|1]~~{(+1  6)}~~>[1*2*6*7|1],[2*7*12|1]~>[1*2*6*7|1],{(+1  6)}~,21.0,1,2,0,0
2*7*12|1,3*6*7|1,2,2,0,[2*7*12|1]~~{(+3  6)}~~>[3*6*7|1],[2*7*12|1]~>[3*6*7|1],{(+3  6)}~,21.0,1,2,0,0
2*7*12|1,1*3*6*7|1,3,2,0,[2*7*12|1]~~{(+1  3  6)}~~>[1*3*6*7|1],[2*7*12|1]~>[1*3*6*7|1],{(+1  3  6)}~,31.0,1,3,0,0
2*7*12|1,4*6*7|1,2,2,0,[2*7*12|1]~~{(+4  6)}~~>[4*6*7|1],[2*7*12|1]~>[4*6*7|1],{(+4  6)}~,21.0,1,2,0,0
2*7*12|1,4*8|1,,,,N/A,N/A,N/A,,,,,
2*7*12|1,3*4*5*8|1,,,,N/A,N/A,N/A,,,,,
2*7*12|1,6*8|1,,,,N/A,N/A,N/A,,,,,
2*7*12|1,1*9|1,,,,N/A,N/A,N/A,,,,,
2*7*12|1,1*2*9|1,2,2,0,[2*7*12|1]~~{(+1  9)}~~>[1*2*7*9|1]~~{(-7)}~~>[1*2*9|1],[2*7*12|1]~>[1*2*7*9|1]~>[1*2*9|1],{(+1  9)}~{(-7)}~,22.1,2,2,1,0
2*7*12|1,3*9|1,,,,N/A,N/A,N/A,,,,,
2*7*12|1,1*3*9|1,3,3,0,[2*7*12|1]~~{(+1  9)}~~>[1*2*7*9|1]~~{(+3)(-7)}~~>[1*3*9|1],[2*7*12|1]~>[1*2*7*9|1]~>[1*3*9|1],{(+1  9)}~{(+3)(-7)}~,32.1,2,3,1,0
2*7*12|1,5*9|1,,,,N/A,N/A,N/A,,,,,
2*7*12|1,5*7*9|1,2,2,0,[2*7*12|1]~~{(+5  9)}~~>[5*7*9|1],[2*7*12|1]~>[5*7*9|1],{(+5  9)}~,21.0,1,2,0,0
2*7*12|1,1*5*7*9|1,3,2,0,[2*7*12|1]~~{(+1  5  9)}~~>[1*5*7*9|1],[2*7*12|1]~>[1*5*7*9|1],{(+1  5  9)}~,31.0,1,3,0,0
2*7*12|1,8*9|1,,,,N/A,N/A,N/A,,,,,
2*7*12|1,10|1,,,,N/A,N/A,N/A,,,,,
2*7*12|1,2*10|1,,,,N/A,N/A,N/A,,,,,
2*7*12|1,1*4*10|1,,,,N/A,N/A,N/A,,,,,
2*7*12|1,5*10|1,,,,N/A,N/A,N/A,,,,,
2*7*12|1,2*6*10|1,,,,N/A,N/A,N/A,,,,,
2*7*12|1,2*6*7*10|1,2,1,0,[2*7*12|1]~~{(+6  10)}~~>[2*6*7*10|1],[2*7*12|1]~>[2*6*7*10|1],{(+6  10)}~,21.0,1,2,0,0
2*7*12|1,2*5*8*10|1,,,,N/A,N/A,N/A,,,,,
2*7*12|1,3*4*5*8*10|1,,,,N/A,N/A,N/A,,,,,
2*7*12|1,6*8*10|1,,,,N/A,N/A,N/A,,,,,
2*7*12|1,3*4*6*8*10|1,,,,N/A,N/A,N/A,,,,,
2*7*12|1,4*5*6*8*10|1,,,,N/A,N/A,N/A,,,,,
2*7*12|1,3*4*5*6*8*10|1,,,,N/A,N/A,N/A,,,,,
2*7*12|1,9*10|1,,,,N/A,N/A,N/A,,,,,
2*7*12|1,2*9*10|1,,,,N/A,N/A,N/A,,,,,
2*7*12|1,3*4*9*10|1,,,,N/A,N/A,N/A,,,,,
2*7*12|1,6*9*10|1,,,,N/A,N/A,N/A,,,,,
2*7*12|1,8*9*10|1,,,,N/A,N/A,N/A,,,,,
2*7*12|1,2*8*9*10|1,,,,N/A,N/A,N/A,,,,,
2*7*12|1,1*2*11|1,,,,N/A,N/A,N/A,,,,,
2*7*12|1,7*11|1,,,,N/A,N/A,N/A,,,,,
2*7*12|1,8*11|1,,,,N/A,N/A,N/A,,,,,
2*7*12|1,6*8*9*11|1,,,,N/A,N/A,N/A,,,,,
2*7*12|1,8*9*10*11|1,,,,N/A,N/A,N/A,,,,,
2*7*12|1,1*3*12|1,,,,N/A,N/A,N/A,,,,,
2*7*12|1,1*4*12|1,,,,N/A,N/A,N/A,,,,,
2*7*12|1,3*4*12|1,,,,N/A,N/A,N/A,,,,,
2*7*12|1,5*12|1,,,,N/A,N/A,N/A,,,,,
2*7*12|1,1*5*12|1,,,,N/A,N/A,N/A,,,,,
2*7*12|1,2*5*12|1,,,,N/A,N/A,N/A,,,,,
2*7*12|1,1*2*5*12|1,,,,N/A,N/A,N/A,,,,,
2*7*12|1,1*4*5*12|1,,,,N/A,N/A,N/A,,,,,
2*7*12|1,3*4*5*12|1,,,,N/A,N/A,N/A,,,,,
2*7*12|1,6*12|1,,,,N/A,N/A,N/A,,,,,
2*7*12|1,3*6*12|1,,,,N/A,N/A,N/A,,,,,
2*7*12|1,9*12|1,,,,N/A,N/A,N/A,,,,,
1*2*7*12|1,1*2|1,,,,N/A,N/A,N/A,,,,,
1*2*7*12|1,3*4*5|1,,,,N/A,N/A,N/A,,,,,
1*2*7*12|1,1*3*4*5|1,,,,N/A,N/A,N/A,,,,,
1*2*7*12|1,1*6|1,,,,N/A,N/A,N/A,,,,,
1*2*7*12|1,2*6|1,,,,N/A,N/A,N/A,,,,,
1*2*7*12|1,3*6|1,,,,N/A,N/A,N/A,,,,,
1*2*7*12|1,1*3*5*6|1,,,,N/A,N/A,N/A,,,,,
1*2*7*12|1,4*5*6|1,,,,N/A,N/A,N/A,,,,,
1*2*7*12|1,1*3*7|1,1,2,0,[1*2*7*12|1]~~{(+3)}~~>[1*3*7|1],[1*2*7*12|1]~>[1*3*7|1],{(+3)}~,11.0,1,1,0,0
1*2*7*12|1,1*4*7|1,1,2,0,[1*2*7*12|1]~~{(+4)}~~>[1*4*7|1],[1*2*7*12|1]~>[1*4*7|1],{(+4)}~,11.0,1,1,0,0
1*2*7*12|1,1*2*6*7|1,1,1,0,[1*2*7*12|1]~~{(+6)}~~>[1*2*6*7|1],[1*2*7*12|1]~>[1*2*6*7|1],{(+6)}~,11.0,1,1,0,0
1*2*7*12|1,3*6*7|1,,,,N/A,N/A,N/A,,,,,
1*2*7*12|1,1*4*6*7|1,2,2,0,[1*2*7*12|1]~~{(+4  6)}~~>[1*4*6*7|1],[1*2*7*12|1]~>[1*4*6*7|1],{(+4  6)}~,21.0,1,2,0,0
1*2*7*12|1,8|1,,,,N/A,N/A,N/A,,,,,
1*2*7*12|1,3*8|1,,,,N/A,N/A,N/A,,,,,
1*2*7*12|1,4*8|1,,,,N/A,N/A,N/A,,,,,
1*2*7*12|1,3*4*8|1,,,,N/A,N/A,N/A,,,,,
1*2*7*12|1,2*5*8|1,,,,N/A,N/A,N/A,,,,,
1*2*7*12|1,6*8|1,,,,N/A,N/A,N/A,,,,,
1*2*7*12|1,3*6*8|1,,,,N/A,N/A,N/A,,,,,
1*2*7*12|1,1*9|1,,,,N/A,N/A,N/A,,,,,
1*2*7*12|1,3*9|1,,,,N/A,N/A,N/A,,,,,
1*2*7*12|1,3*5*9|1,,,,N/A,N/A,N/A,,,,,
1*2*7*12|1,1*4*7*9|1,2,2,0,[1*2*7*12|1]~~{(+4  9)}~~>[1*4*7*9|1],[1*2*7*12|1]~>[1*4*7*9|1],{(+4  9)}~,21.0,1,2,0,0
1*2*7*12|1,8*9|1,,,,N/A,N/A,N/A,,,,,
1*2*7*12|1,10|1,,,,N/A,N/A,N/A,,,,,
1*2*7*12|1,2*10|1,,,,N/A,N/A,N/A,,,,,
1*2*7*12|1,4*10|1,,,,N/A,N/A,N/A,,,,,
1*2*7*12|1,5*10|1,,,,N/A,N/A,N/A,,,,,
1*2*7*12|1,2*5*10|1,,,,N/A,N/A,N/A,,,,,
1*2*7*12|1,2*6*10|1,,,,N/A,N/A,N/A,,,,,
1*2*7*12|1,5*7*10|1,,,,N/A,N/A,N/A,,,,,
1*2*7*12|1,2*8*10|1,,,,N/A,N/A,N/A,,,,,
1*2*7*12|1,6*8*10|1,,,,N/A,N/A,N/A,,,,,
1*2*7*12|1,2*6*8*10|1,,,,N/A,N/A,N/A,,,,,
1*2*7*12|1,4*6*8*10|1,,,,N/A,N/A,N/A,,,,,
1*2*7*12|1,3*4*6*8*10|1,,,,N/A,N/A,N/A,,,,,
1*2*7*12|1,9*10|1,,,,N/A,N/A,N/A,,,,,
1*2*7*12|1,2*9*10|1,,,,N/A,N/A,N/A,,,,,
1*2*7*12|1,5*9*10|1,,,,N/A,N/A,N/A,,,,,
1*2*7*12|1,2*5*9*10|1,,,,N/A,N/A,N/A,,,,,
1*2*7*12|1,7*9*10|1,,,,N/A,N/A,N/A,,,,,
1*2*7*12|1,2*8*9*10|1,,,,N/A,N/A,N/A,,,,,
1*2*7*12|1,7*11|1,,,,N/A,N/A,N/A,,,,,
1*2*7*12|1,2*7*11|1,,,,N/A,N/A,N/A,,,,,
1*2*7*12|1,2*8*11|1,,,,N/A,N/A,N/A,,,,,
1*2*7*12|1,9*11|1,,,,N/A,N/A,N/A,,,,,
1*2*7*12|1,2*8*9*11|1,,,,N/A,N/A,N/A,,,,,
1*2*7*12|1,6*8*9*11|1,,,,N/A,N/A,N/A,,,,,
1*2*7*12|1,7*9*10*11|1,,,,N/A,N/A,N/A,,,,,
1*2*7*12|1,1*2*12|1,,,,N/A,N/A,N/A,,,,,
1*2*7*12|1,1*3*4*5*12|1,,,,N/A,N/A,N/A,,,,,
1*2*7*12|1,3*4*6*12|1,,,,N/A,N/A,N/A,,,,,
1*2*7*12|1,2*7*12|1,,,,N/A,N/A,N/A,,,,,
9*12|1,1*3*4|1,3,2,0,[9*12|1]~~{(+1  11)(-9)}~~>[1*11|1]~~{(+3  4)}~~>[1*3*4|1],[9*12|1]~>[1*11|1]~>[1*3*4|1],{(+1  11)(-9)}~{(+3  4)}~,42.1,2,4,1,0
9*12|1,4*5|1,,,,N/A,N/A,N/A,,,,,
9*12|1,1*4*6|1,3,2,0,[9*12|1]~~{(+1  4  6)(-9)}~~>[1*4*6|1],[9*12|1]~>[1*4*6|1],{(+1  4  6)(-9)}~,31.1,1,3,1,0
9*12|1,7|1,1,2,0,[9*12|1]~~{(+7)(-9)}~~>[7|1],[9*12|1]~>[7|1],{(+7)(-9)}~,11.1,1,1,1,0
9*12|1,2*7|1,2,2,0,[9*12|1]~~{(+7)(-9)}~~>[7|1]~~{(+2)}~~>[2*7|1],[9*12|1]~>[7|1]~>[2*7|1],{(+7)(-9)}~{(+2)}~,22.1,2,2,1,0
9*12|1,1*3*7|1,3,2,0,[9*12|1]~~{(+1  3  7)(-9)}~~>[1*3*7|1],[9*12|1]~>[1*3*7|1],{(+1  3  7)(-9)}~,31.1,1,3,1,0
9*12|1,1*4*7|1,3,2,0,[9*12|1]~~{(+1  4  7)(-9)}~~>[1*4*7|1],[9*12|1]~>[1*4*7|1],{(+1  4  7)(-9)}~,31.1,1,3,1,0
9*12|1,4*5*7|1,3,2,0,[9*12|1]~~{(+4  5  7)(-9)}~~>[4*5*7|1],[9*12|1]~>[4*5*7|1],{(+4  5  7)(-9)}~,31.1,1,3,1,0
9*12|1,4*6*7|1,3,2,0,[9*12|1]~~{(+4  6  7)(-9)}~~>[4*6*7|1],[9*12|1]~>[4*6*7|1],{(+4  6  7)(-9)}~,31.1,1,3,1,0
9*12|1,2*8|1,,,,N/A,N/A,N/A,,,,,
9*12|1,3*8|1,2,2,0,[9*12|1]~~{(+6  8)(-9)}~~>[6*8|1]~~{(+5)}~~>[5*8|1]~~{(+3)}~~>[3*8|1],[9*12|1]~>[6*8|1]~>[5*8|1]~>[3*8|1],{(+6  8)(-9)}~{(+5)}~{(+3)}~,43.1,3,4,1,0
9*12|1,4*8|1,,,,N/A,N/A,N/A,,,,,
9*12|1,5*8|1,2,2,0,[9*12|1]~~{(+6  8)(-9)}~~>[6*8|1]~~{(+5)}~~>[5*8|1],[9*12|1]~>[6*8|1]~>[5*8|1],{(+6  8)(-9)}~{(+5)}~,32.1,2,3,1,0
