start,goal,net_add,net_del,net_temp,full_path,path,action,a_star_cost,a_star_ops,a_star_add,a_star_del,a_star_temp
1*2*4*5*6*9|1,4*6*8*9*11|1,,,,N/A,N/A,N/A,,,,,
3*4*5*6*9|1,2*5|1,,,,N/A,N/A,N/A,,,,,
3*4*5*6*9|1,4*5|1,,,,N/A,N/A,N/A,,,,,
3*4*5*6*9|1,2*6|1,,,,N/A,N/A,N/A,,,,,
3*4*5*6*9|1,3*6|1,,,,N/A,N/A,N/A,,,,,
3*4*5*6*9|1,3*4*5*6|1,,,,N/A,N/A,N/A,,,,,
3*4*5*6*9|1,1*8|1,,,,N/A,N/A,N/A,,,,,
3*4*5*6*9|1,1*5*6*8|1,,,,N/A,N/A,N/A,,,,,
3*4*5*6*9|1,3*4*7*8|1,,,,N/A,N/A,N/A,,,,,
3*4*5*6*9|1,1*4*6*7*8|1,,,,N/A,N/A,N/A,,,,,
3*4*5*6*9|1,6*9|1,,,,N/A,N/A,N/A,,,,,
3*4*5*6*9|1,2*4*6*9|1,,,,N/A,N/A,N/A,,,,,
3*4*5*6*9|1,1*2*4*5*6*9|1,2,1,0,[3*4*5*6*9|1]~~{(+2)}~~>[2*4*5*6*9|1]~~{(+1)}~~>[1*2*4*5*6*9|1],[3*4*5*6*9|1]~>[2*4*5*6*9|1]~>[1*2*4*5*6*9|1],{(+2)}~{(+1)}~,2.2,2,2,0,0
3*4*5*6*9|1,2*5*8*9|1,,,,N/A,N/A,N/A,,,,,
3*4*5*6*9|1,2*4*6*10|1,,,,N/A,N/A,N/A,,,,,
3*4*5*6*9|1,3*7*10|1,,,,N/A,N/A,N/A,,,,,
3*4*5*6*9|1,3*6*7*10|1,,,,N/A,N/A,N/A,,,,,
3*4*5*6*9|1,3*5*6*7*10|1,,,,N/A,N/A,N/A,,,,,
3*4*5*6*9|1,1*4*7*9*10|1,,,,N/A,N/A,N/A,,,,,
3*4*5*6*9|1,3*6*11|1,,,,N/A,N/A,N/A,,,,,
3*4*5*6*9|1,7*11|1,,,,N/A,N/A,N/A,,,,,
3*4*5*6*9|1,4*9*11|1,,,,N/A,N/A,N/A,,,,,
3*4*5*6*9|1,5*8*9*11|1,,,,N/A,N/A,N/A,,,,,
3*4*5*6*9|1,3*6*7*8*10*11|1,,,,N/A,N/A,N/A,,,,,
3*4*5*6*9|1,1*2*5*9*10*11|1,,,,N/A,N/A,N/A,,,,,
4*7*9|1,3*4|1,,,,N/A,N/A,N/A,,,,,
4*7*9|1,3*4*5|1,,,,N/A,N/A,N/A,,,,,
4*7*9|1,3*4*6|1,,,,N/A,N/A,N/A,,,,,
4*7*9|1,2*5*6*7|1,,,,N/A,N/A,N/A,,,,,
4*7*9|1,3*4*8|1,,,,N/A,N/A,N/A,,,,,
4*7*9|1,3*6*7*8|1,,,,N/A,N/A,N/A,,,,,
4*7*9|1,2*5*9|1,,,,N/A,N/A,N/A,,,,,
4*7*9|1,5*6*9|1,,,,N/A,N/A,N/A,,,,,
4*7*9|1,4*8*9|1,,,,N/A,N/A,N/A,,,,,
4*7*9|1,2*4*6*8*9|1,3,1,0,[4*7*9|1]~~{(+2)}~~>[2*4*9|1]~~{(+6  8)}~~>[2*4*6*8*9|1],[4*7*9|1]~>[2*4*9|1]~>[2*4*6*8*9|1],{(+2)}~{(+6  8)}~,2.3,2,3,0,0
4*7*9|1,3*4*5*6*8*9|1,4,1,0,[4*7*9|1]~~{(+3  6)}~~>[3*4*6*9|1]~~{(+5  8)}~~>[3*4*5*6*8*9|1],[4*7*9|1]~>[3*4*6*9|1]~>[3*4*5*6*8*9|1],{(+3  6)}~{(+5  8)}~,2.4,2,4,0,0
4*7*9|1,3*5*7*8*9|1,,,,N/A,N/A,N/A,,,,,
4*7*9|1,1*10|1,,,,N/A,N/A,N/A,,,,,
4*7*9|1,1*2*10|1,,,,N/A,N/A,N/A,,,,,
4*7*9|1,5*9*10|1,,,,N/A,N/A,N/A,,,,,
4*7*9|1,1*2*11|1,,,,N/A,N/A,N/A,,,,,
4*7*9|1,4*11|1,,,,N/A,N/A,N/A,,,,,
4*7*9|1,5*6*11|1,,,,N/A,N/A,N/A,,,,,
4*7*9|1,4*7*11|1,,,,N/A,N/A,N/A,,,,,
4*7*9|1,5*8*11|1,,,,N/A,N/A,N/A,,,,,
4*7*9|1,4*9*11|1,1,1,0,[4*7*9|1]~~{(+11)}~~>[4*9*11|1],[4*7*9|1]~>[4*9*11|1],{(+11)}~,1.1,1,1,0,0
4*7*9|1,3*4*5*6*9*11|1,4,1,0,[4*7*9|1]~~{(+3  5  6  11)}~~>[3*4*5*6*9*11|1],[4*7*9|1]~>[3*4*5*6*9*11|1],{(+3  5  6  11)}~,1.4,1,4,0,0
4*7*9|1,2*8*9*11|1,,,,N/A,N/A,N/A,,,,,
4*7*9|1,2*5*8*9*11|1,,,,N/A,N/A,N/A,,,,,
4*7*9|1,7*10*11|1,,,,N/A,N/A,N/A,,,,,
1*4*7*9|1,1*4*5|1,,,,N/A,N/A,N/A,,,,,
1*4*7*9|1,1*4*5*6|1,,,,N/A,N/A,N/A,,,,,
1*4*7*9|1,1*2*4*6*7|1,,,,N/A,N/A,N/A,,,,,
1*4*7*9|1,4*5*6*7|1,,,,N/A,N/A,N/A,,,,,
1*4*7*9|1,3*8|1,,,,N/A,N/A,N/A,,,,,
1*4*7*9|1,1*6*8|1,,,,N/A,N/A,N/A,,,,,
1*4*7*9|1,2*7*8|1,,,,N/A,N/A,N/A,,,,,
1*4*7*9|1,2*6*9|1,,,,N/A,N/A,N/A,,,,,
1*4*7*9|1,1*2*4*7*9|1,1,0,0,[1*4*7*9|1]~~{(+2)}~~>[1*2*4*7*9|1],[1*4*7*9|1]~>[1*2*4*7*9|1],{(+2)}~,1.1,1,1,0,0
1*4*7*9|1,1*5*8*9|1,,,,N/A,N/A,N/A,,,,,
1*4*7*9|1,3*4*6*7*8*9|1,,,,N/A,N/A,N/A,,,,,
1*4*7*9|1,2*4*6*10|1,,,,N/A,N/A,N/A,,,,,
1*4*7*9|1,3*9*10|1,,,,N/A,N/A,N/A,,,,,
1*4*7*9|1,5*9*10|1,,,,N/A,N/A,N/A,,,,,
1*4*7*9|1,2*6*9*10|1,,,,N/A,N/A,N/A,,,,,
1*4*7*9|1,2*4*7*9*10|1,,,,N/A,N/A,N/A,,,,,
1*4*7*9|1,1*2*4*6*7*11|1,,,,N/A,N/A,N/A,,,,,
1*4*7*9|1,6*7*8*11|1,,,,N/A,N/A,N/A,,,,,
1*4*7*9|1,2*9*11|1,,,,N/A,N/A,N/A,,,,,
1*4*7*9|1,3*4*9*11|1,,,,N/A,N/A,N/A,,,,,
1*4*7*9|1,1*2*4*5*6*9*11|1,4,1,0,[1*4*7*9|1]~~{(+2  11)}~~>[1*2*4*9*11|1]~~{(+5  6)}~~>[1*2*4*5*6*9*11|1],[1*4*7*9|1]~>[1*2*4*9*11|1]~>[1*2*4*5*6*9*11|1],{(+2  11)}~{(+5  6)}~,2.4,2,4,0,0
1*4*7*9|1,3*4*5*6*9*11|1,,,,N/A,N/A,N/A,,,,,
1*4*7*9|1,1*2*10*11|1,,,,N/A,N/A,N/A,,,,,
1*4*7*9|1,5*7*10*11|1,,,,N/A,N/A,N/A,,,,,
1*4*7*9|1,2*8*9*10*11|1,,,,N/A,N/A,N/A,,,,,
1*2*4*7*9|1,2*4*5*6|1,,,,N/A,N/A,N/A,,,,,
1*2*4*7*9|1,1*4*6*7|1,,,,N/A,N/A,N/A,,,,,
1*2*4*7*9|1,7*8|1,,,,N/A,N/A,N/A,,,,,
1*2*4*7*9|1,1*2*4*6*7*8|1,,,,N/A,N/A,N/A,,,,,
1*2*4*7*9|1,3*9|1,,,,N/A,N/A,N/A,,,,,
1*2*4*7*9|1,5*6*9|1,,,,N/A,N/A,N/A,,,,,
1*2*4*7*9|1,1*4*5*6*9|1,,,,N/A,N/A,N/A,,,,,
1*2*4*7*9|1,1*4*7*9|1,,,,N/A,N/A,N/A,,,,,
1*2*4*7*9|1,3*4*5*6*7*9|1,,,,N/A,N/A,N/A,,,,,
1*2*4*7*9|1,1*4*6*8*9|1,,,,N/A,N/A,N/A,,,,,
1*2*4*7*9|1,3*5*7*8*9|1,,,,N/A,N/A,N/A,,,,,
1*2*4*7*9|1,3*4*6*7*8*9|1,,,,N/A,N/A,N/A,,,,,
1*2*4*7*9|1,2*4*10|1,,,,N/A,N/A,N/A,,,,,
1*2*4*7*9|1,1*2*4*6*7*10|1,,,,N/A,N/A,N/A,,,,,
1*2*4*7*9|1,4*5*6*7*10|1,,,,N/A,N/A,N/A,,,,,
1*2*4*7*9|1,2*9*10|1,,,,N/A,N/A,N/A,,,,,
1*2*4*7*9|1,1*2*4*11|1,,,,N/A,N/A,N/A,,,,,
1*2*4*7*9|1,1*2*8*11|1,,,,N/A,N/A,N/A,,,,,
1*2*4*7*9|1,1*2*4*6*9*11|1,2,1,0,[1*2*4*7*9|1]~~{(+6  11)}~~>[1*2*4*6*9*11|1],[1*2*4*7*9|1]~>[1*2*4*6*9*11|1],{(+6  11)}~,1.2,1,2,0,0
1*2*4*7*9|1,5*8*9*11|1,,,,N/A,N/A,N/A,,,,,
1*2*4*7*9|1,3*4*5*8*9*11|1,,,,N/A,N/A,N/A,,,,,
1*2*4*7*9|1,4*6*8*9*11|1,,,,N/A,N/A,N/A,,,,,
1*2*4*7*9|1,7*10*11|1,,,,N/A,N/A,N/A,,,,,
1*2*4*7*9|1,7*8*10*11|1,,,,N/A,N/A,N/A,,,,,
4*5*7*9|1,4*5*6*7|1,,,,N/A,N/A,N/A,,,,,
4*5*7*9|1,2*5*8|1,,,,N/A,N/A,N/A,,,,,
4*5*7*9|1,4*5*6*7*9|1,1,0,0,[4*5*7*9|1]~~{(+6)}~~>[4*5*6*7*9|1],[4*5*7*9|1]~>[4*5*6*7*9|1],{(+6)}~,1.1,1,1,0,0
4*5*7*9|1,1*4*5*6*7*8*9|1,3,0,0,[4*5*7*9|1]~~{(+1  6  8)}~~>[1*4*5*6*7*8*9|1],[4*5*7*9|1]~>[1*4*5*6*7*8*9|1],{(+1  6  8)}~,1.3,1,3,0,0
4*5*7*9|1,4*7*9*10|1,,,,N/A,N/A,N/A,,,,,
4*5*7*9|1,5*8*11|1,,,,N/A,N/A,N/A,,,,,
4*5*7*9|1,2*7*8*11|1,,,,N/A,N/A,N/A,,,,,
4*5*7*9|1,4*5*9*11|1,,,,N/A,N/A,N/A,,,,,
4*5*7*9|1,2*5*8*9*11|1,,,,N/A,N/A,N/A,,,,,
4*5*7*9|1,3*4*5*7*8*9*11|1,3,0,0,[4*5*7*9|1]~~{(+3  8  11)}~~>[3*4*5*7*8*9*11|1],[4*5*7*9|1]~>[3*4*5*7*8*9*11|1],{(+3  8  11)}~,1.3,1,3,0,0
4*5*7*9|1,9*10*11|1,,,,N/A,N/A,N/A,,,,,
4*5*7*9|1,1*2*4*9*10*11|1,,,,N/A,N/A,N/A,,,,,
4*5*7*9|1,4*6*9*10*11|1,,,,N/A,N/A,N/A,,,,,
1*4*5*7*9|1,2|1,,,,N/A,N/A,N/A,,,,,
1*4*5*7*9|1,1*4|1,,,,N/A,N/A,N/A,,,,,
1*4*5*7*9|1,4*5*6|1,,,,N/A,N/A,N/A,,,,,
1*4*5*7*9|1,2*4*5*6|1,,,,N/A,N/A,N/A,,,,,
1*4*5*7*9|1,7|1,,,,N/A,N/A,N/A,,,,,
1*4*5*7*9|1,2*4*7|1,,,,N/A,N/A,N/A,,,,,
1*4*5*7*9|1,3*4*5*6*8|1,,,,N/A,N/A,N/A,,,,,
1*4*5*7*9|1,3*7*8|1,,,,N/A,N/A,N/A,,,,,
1*4*5*7*9|1,9|1,,,,N/A,N/A,N/A,,,,,
1*4*5*7*9|1,4*7*9|1,,,,N/A,N/A,N/A,,,,,
1*4*5*7*9|1,2*4*5*6*7*9|1,,,,N/A,N/A,N/A,,,,,
1*4*5*7*9|1,3*8*9|1,,,,N/A,N/A,N/A,,,,,
1*4*5*7*9|1,3*4*5*6*8*9|1,,,,N/A,N/A,N/A,,,,,
1*4*5*7*9|1,4*6*10|1,,,,N/A,N/A,N/A,,,,,
1*4*5*7*9|1,2*4*7*10|1,,,,N/A,N/A,N/A,,,,,
1*4*5*7*9|1,2*4*6*9*10|1,,,,N/A,N/A,N/A,,,,,
1*4*5*7*9|1,3*4*6*7*9*10|1,,,,N/A,N/A,N/A,,,,,
1*4*5*7*9|1,2*6*11|1,,,,N/A,N/A,N/A,,,,,
1*4*5*7*9|1,3*4*6*11|1,,,,N/A,N/A,N/A,,,,,
1*4*5*7*9|1,1*2*4*7*11|1,,,,N/A,N/A,N/A,,,,,
1*4*5*7*9|1,4*6*7*8*11|1,,,,N/A,N/A,N/A,,,,,
1*4*5*7*9|1,4*6*10*11|1,,,,N/A,N/A,N/A,,,,,
1*4*5*7*9|1,2*4*6*7*10*11|1,,,,N/A,N/A,N/A,,,,,
1*4*5*7*9|1,2*4*6*8*10*11|1,,,,N/A,N/A,N/A,,,,,
1*4*5*7*9|1,2*4*7*8*10*11|1,,,,N/A,N/A,N/A,,,,,
1*4*5*7*9|1,9*10*11|1,,,,N/A,N/A,N/A,,,,,
2*4*5*7*9|1,3*5|1,,,,N/A,N/A,N/A,,,,,
2*4*5*7*9|1,4*6*7|1,,,,N/A,N/A,N/A,,,,,
2*4*5*7*9|1,1*2*8|1,,,,N/A,N/A,N/A,,,,,
2*4*5*7*9|1,5*6*7*8|1,,,,N/A,N/A,N/A,,,,,
2*4*5*7*9|1,3*5*6*8*9|1,,,,N/A,N/A,N/A,,,,,
2*4*5*7*9|1,2*4*5*6*8*9|1,,,,N/A,N/A,N/A,,,,,
2*4*5*7*9|1,1*2*9*10|1,,,,N/A,N/A,N/A,,,,,
2*4*5*7*9|1,3*6*9*10|1,,,,N/A,N/A,N/A,,,,,
2*4*5*7*9|1,4*11|1,,,,N/A,N/A,N/A,,,,,
2*4*5*7*9|1,1*2*4*8*11|1,,,,N/A,N/A,N/A,,,,,
2*4*5*7*9|1,1*2*4*6*8*11|1,,,,N/A,N/A,N/A,,,,,
2*4*5*7*9|1,4*5*6*9*11|1,2,2,0,[2*4*5*7*9|1]~~{(+6  11)}~~>[4*5*6*9*11|1],[2*4*5*7*9|1]~>[4*5*6*9*11|1],{(+6  11)}~,1.2,1,2,0,0
2*4*5*7*9|1,2*8*9*11|1,,,,N/A,N/A,N/A,,,,,
2*4*5*7*9|1,2*5*6*8*9*11|1,,,,N/A,N/A,N/A,,,,,
2*4*5*7*9|1,3*10*11|1,,,,N/A,N/A,N/A,,,,,
2*4*5*7*9|1,1*2*5*9*10*11|1,,,,N/A,N/A,N/A,,,,,
1*2*4*5*7*9|1,1*2*8|1,,,,N/A,N/A,N/A,,,,,
1*2*4*5*7*9|1,3*8|1,,,,N/A,N/A,N/A,,,,,
1*2*4*5*7*9|1,3*5*8|1,,,,N/A,N/A,N/A,,,,,
1*2*4*5*7*9|1,1*4*7*8|1,,,,N/A,N/A,N/A,,,,,
1*2*4*5*7*9|1,1*4*6*7*8|1,,,,N/A,N/A,N/A,,,,,
1*2*4*5*7*9|1,1*2*4*9|1,,,,N/A,N/A,N/A,,,,,
1*2*4*5*7*9|1,2*6*9|1,,,,N/A,N/A,N/A,,,,,
1*2*4*5*7*9|1,1*2*4*7*9|1,,,,N/A,N/A,N/A,,,,,
1*2*4*5*7*9|1,5*7*8*9|1,,,,N/A,N/A,N/A,,,,,
1*2*4*5*7*9|1,1*10|1,,,,N/A,N/A,N/A,,,,,
1*2*4*5*7*9|1,1*5*10|1,,,,N/A,N/A,N/A,,,,,
1*2*4*5*7*9|1,6*10|1,,,,N/A,N/A,N/A,,,,,
1*2*4*5*7*9|1,1*6*7*10|1,,,,N/A,N/A,N/A,,,,,
1*2*4*5*7*9|1,4*8*11|1,,,,N/A,N/A,N/A,,,,,
1*2*4*5*7*9|1,8*9*11|1,,,,N/A,N/A,N/A,,,,,
1*2*4*5*7*9|1,2*8*9*11|1,,,,N/A,N/A,N/A,,,,,
1*2*4*5*7*9|1,2*4*6*10*11|1,,,,N/A,N/A,N/A,,,,,
1*2*4*5*7*9|1,2*9*10*11|1,,,,N/A,N/A,N/A,,,,,
3*4*5*7*9|1,|1,,,,N/A,N/A,N/A,,,,,
3*4*5*7*9|1,2*5|1,,,,N/A,N/A,N/A,,,,,
3*4*5*7*9|1,3*4*6*7|1,,,,N/A,N/A,N/A,,,,,
3*4*5*7*9|1,3*6*7*8|1,,,,N/A,N/A,N/A,,,,,
3*4*5*7*9|1,1*9|1,,,,N/A,N/A,N/A,,,,,
3*4*5*7*9|1,1*2*9|1,,,,N/A,N/A,N/A,,,,,
3*4*5*7*9|1,2*4*5*9|1,,,,N/A,N/A,N/A,,,,,
3*4*5*7*9|1,2*6*9|1,,,,N/A,N/A,N/A,,,,,
3*4*5*7*9|1,3*4*6*9|1,,,,N/A,N/A,N/A,,,,,
3*4*5*7*9|1,1*4*5*7*9|1,1,1,0,[3*4*5*7*9|1]~~{(+2)}~~>[2*4*5*7*9|1]~~{(+11)}~~>[4*5*7*9*11|1]~~{(+1)}~~>[1*4*5*7*9|1],[3*4*5*7*9|1]~>[2*4*5*7*9|1]~>[4*5*7*9*11|1]~>[1*4*5*7*9|1],{(+2)}~{(+11)}~{(+1)}~,3.3000000000000003,3,3,0,0
3*4*5*7*9|1,3*4*5*6*7*9|1,1,0,0,[3*4*5*7*9|1]~~{(+6)}~~>[3*4*5*6*7*9|1],[3*4*5*7*9|1]~>[3*4*5*6*7*9|1],{(+6)}~,1.1,1,1,0,0
3*4*5*7*9|1,3*4*5*7*8*9|1,1,0,0,[3*4*5*7*9|1]~~{(+8)}~~>[3*4*5*7*8*9|1],[3*4*5*7*9|1]~>[3*4*5*7*8*9|1],{(+8)}~,1.1,1,1,0,0
3*4*5*7*9|1,7*10|1,,,,N/A,N/A,N/A,,,,,
3*4*5*7*9|1,7*8*10|1,,,,N/A,N/A,N/A,,,,,
3*4*5*7*9|1,3*6*9*10|1,,,,N/A,N/A,N/A,,,,,
3*4*5*7*9|1,3*4*6*9*10|1,,,,N/A,N/A,N/A,,,,,
3*4*5*7*9|1,3*4*7*9*10|1,,,,N/A,N/A,N/A,,,,,
3*4*5*7*9|1,3*4*5*7*9*10|1,1,0,0,[3*4*5*7*9|1]~~{(+10)}~~>[3*4*5*7*9*10|1],[3*4*5*7*9|1]~>[3*4*5*7*9*10|1],{(+10)}~,1.1,1,1,0,0
3*4*5*7*9|1,4*7*11|1,,,,N/A,N/A,N/A,,,,,
3*4*5*7*9|1,4*6*7*8*11|1,,,,N/A,N/A,N/A,,,,,
3*4*5*7*9|1,2*5*8*9*11|1,,,,N/A,N/A,N/A,,,,,
3*4*5*7*9|1,7*8*10*11|1,,,,N/A,N/A,N/A,,,,,
4*6*7*9|1,1*2|1,,,,N/A,N/A,N/A,,,,,
4*6*7*9|1,3*4*6|1,,,,N/A,N/A,N/A,,,,,
4*6*7*9|1,2*4*7|1,,,,N/A,N/A,N/A,,,,,
4*6*7*9|1,1*7*8|1,,,,N/A,N/A,N/A,,,,,
4*6*7*9|1,2*5*9|1,,,,N/A,N/A,N/A,,,,,
4*6*7*9|1,1*9*10|1,,,,N/A,N/A,N/A,,,,,
4*6*7*9|1,3*9*10|1,,,,N/A,N/A,N/A,,,,,
4*6*7*9|1,1*2*4*7*11|1,,,,N/A,N/A,N/A,,,,,
4*6*7*9|1,3*4*7*11|1,,,,N/A,N/A,N/A,,,,,
4*6*7*9|1,8*11|1,,,,N/A,N/A,N/A,,,,,
4*6*7*9|1,3*4*5*9*11|1,3,2,0,[4*6*7*9|1]~~{(+3  11)}~~>[3*4*9*11|1]~~{(+5)}~~>[3*4*5*9*11|1],[4*6*7*9|1]~>[3*4*9*11|1]~>[3*4*5*9*11|1],{(+3  11)}~{(+5)}~,2.3,2,3,0,0
4*6*7*9|1,3*10*11|1,,,,N/A,N/A,N/A,,,,,
4*6*7*9|1,3*6*7*8*10*11|1,,,,N/A,N/A,N/A,,,,,
1*4*6*7*9|1,5|1,,,,N/A,N/A,N/A,,,,,
1*4*6*7*9|1,3*4*7|1,,,,N/A,N/A,N/A,,,,,
1*4*6*7*9|1,1*2*4*6*7|1,,,,N/A,N/A,N/A,,,,,
1*4*6*7*9|1,2*3*4*5*8|1,,,,N/A,N/A,N/A,,,,,
1*4*6*7*9|1,5*6*8|1,,,,N/A,N/A,N/A,,,,,
1*4*6*7*9|1,1*4*7*8|1,,,,N/A,N/A,N/A,,,,,
1*4*6*7*9|1,4*5*9|1,,,,N/A,N/A,N/A,,,,,
1*4*6*7*9|1,6*9|1,,,,N/A,N/A,N/A,,,,,
1*4*6*7*9|1,5*6*9|1,,,,N/A,N/A,N/A,,,,,
1*4*6*7*9|1,2*4*5*6*9|1,,,,N/A,N/A,N/A,,,,,
1*4*6*7*9|1,1*4*6*8*9|1,,,,N/A,N/A,N/A,,,,,
1*4*6*7*9|1,1*5*6*8*9|1,,,,N/A,N/A,N/A,,,,,
1*4*6*7*9|1,3*4*7*8*9|1,,,,N/A,N/A,N/A,,,,,
1*4*6*7*9|1,3*5*6*7*8*9|1,,,,N/A,N/A,N/A,,,,,
1*4*6*7*9|1,1*4*5*6*7*8*9|1,2,0,0,[1*4*6*7*9|1]~~{(+5  8)}~~>[1*4*5*6*7*8*9|1],[1*4*6*7*9|1]~>[1*4*5*6*7*8*9|1],{(+5  8)}~,1.2,1,2,0,0
1*4*6*7*9|1,10|1,,,,N/A,N/A,N/A,,,,,
1*4*6*7*9|1,4*10|1,,,,N/A,N/A,N/A,,,,,
1*4*6*7*9|1,1*2*9*10|1,,,,N/A,N/A,N/A,,,,,
1*4*6*7*9|1,1*2*4*9*11|1,,,,N/A,N/A,N/A,,,,,
1*4*6*7*9|1,2*5*6*9*11|1,,,,N/A,N/A,N/A,,,,,
1*4*6*7*9|1,1*2*4*5*6*7*9*11|1,3,0,0,[1*4*6*7*9|1]~~{(+2  5  11)}~~>[1*2*4*5*6*7*9*11|1],[1*4*6*7*9|1]~>[1*2*4*5*6*7*9*11|1],{(+2  5  11)}~,1.3,1,3,0,0
1*4*6*7*9|1,2*8*9*10*11|1,,,,N/A,N/A,N/A,,,,,
1*2*4*6*7*9|1,1*4|1,,,,N/A,N/A,N/A,,,,,
1*2*4*6*7*9|1,3*5*6*7|1,,,,N/A,N/A,N/A,,,,,
1*2*4*6*7*9|1,1*4*5*8|1,,,,N/A,N/A,N/A,,,,,
1*2*4*6*7*9|1,2*4*5*6*8|1,,,,N/A,N/A,N/A,,,,,
1*2*4*6*7*9|1,5*6*7*8|1,,,,N/A,N/A,N/A,,,,,
1*2*4*6*7*9|1,1*4*6*9|1,,,,N/A,N/A,N/A,,,,,
1*2*4*6*7*9|1,1*2*4*6*9|1,,,,N/A,N/A,N/A,,,,,
1*2*4*6*7*9|1,1*4*6*7*9|1,,,,N/A,N/A,N/A,,,,,
1*2*4*6*7*9|1,1*4*8*9|1,,,,N/A,N/A,N/A,,,,,
1*2*4*6*7*9|1,1*5*8*9|1,,,,N/A,N/A,N/A,,,,,
1*2*4*6*7*9|1,1*4*6*8*9|1,,,,N/A,N/A,N/A,,,,,
1*2*4*6*7*9|1,2*4*5*7*8*9|1,,,,N/A,N/A,N/A,,,,,
1*2*4*6*7*9|1,10|1,,,,N/A,N/A,N/A,,,,,
1*2*4*6*7*9|1,1*2*4*10|1,,,,N/A,N/A,N/A,,,,,
1*2*4*6*7*9|1,7*10|1,,,,N/A,N/A,N/A,,,,,
1*2*4*6*7*9|1,1*5*9*10|1,,,,N/A,N/A,N/A,,,,,
1*2*4*6*7*9|1,2*4*6*9*10|1,,,,N/A,N/A,N/A,,,,,
1*2*4*6*7*9|1,2*4*11|1,,,,N/A,N/A,N/A,,,,,
1*2*4*6*7*9|1,3*7*11|1,,,,N/A,N/A,N/A,,,,,
1*2*4*6*7*9|1,3*4*6*7*11|1,,,,N/A,N/A,N/A,,,,,
1*2*4*6*7*9|1,4*6*7*8*11|1,,,,N/A,N/A,N/A,,,,,
1*2*4*6*7*9|1,4*5*6*7*8*11|1,,,,N/A,N/A,N/A,,,,,
1*2*4*6*7*9|1,5*9*11|1,,,,N/A,N/A,N/A,,,,,
1*2*4*6*7*9|1,3*4*5*8*9*11|1,,,,N/A,N/A,N/A,,,,,
1*2*4*6*7*9|1,3*8*10*11|1,,,,N/A,N/A,N/A,,,,,
4*5*6*7*9|1,3*4*7|1,,,,N/A,N/A,N/A,,,,,
4*5*6*7*9|1,5*8|1,,,,N/A,N/A,N/A,,,,,
4*5*6*7*9|1,6*8|1,,,,N/A,N/A,N/A,,,,,
4*5*6*7*9|1,2*5*9|1,,,,N/A,N/A,N/A,,,,,
4*5*6*7*9|1,2*5*6*9|1,,,,N/A,N/A,N/A,,,,,
4*5*6*7*9|1,1*4*7*9|1,,,,N/A,N/A,N/A,,,,,
4*5*6*7*9|1,1*2*4*5*6*7*9|1,2,0,0,[4*5*6*7*9|1]~~{(+1  2)}~~>[1*2*4*5*6*7*9|1],[4*5*6*7*9|1]~>[1*2*4*5*6*7*9|1],{(+1  2)}~,1.2,1,2,0,0
4*5*6*7*9|1,5*6*8*9|1,,,,N/A,N/A,N/A,,,,,
4*5*6*7*9|1,4*6*7*8*9|1,,,,N/A,N/A,N/A,,,,,
4*5*6*7*9|1,3*4*5*6*7*8*9|1,2,0,0,[4*5*6*7*9|1]~~{(+3  8)}~~>[3*4*5*6*7*8*9|1],[4*5*6*7*9|1]~>[3*4*5*6*7*8*9|1],{(+3  8)}~,1.2,1,2,0,0
4*5*6*7*9|1,2*10|1,,,,N/A,N/A,N/A,,,,,
4*5*6*7*9|1,3*4*9*10|1,,,,N/A,N/A,N/A,,,,,
4*5*6*7*9|1,2*4*11|1,,,,N/A,N/A,N/A,,,,,
4*5*6*7*9|1,4*8*11|1,,,,N/A,N/A,N/A,,,,,
4*5*6*7*9|1,3*4*5*7*9*11|1,,,,N/A,N/A,N/A,,,,,
4*5*6*7*9|1,3*8*9*11|1,,,,N/A,N/A,N/A,,,,,
4*5*6*7*9|1,1*2*4*6*8*9*11|1,,,,N/A,N/A,N/A,,,,,
4*5*6*7*9|1,3*4*8*9*10*11|1,,,,N/A,N/A,N/A,,,,,
1*4*5*6*7*9|1,2*4*6*7|1,,,,N/A,N/A,N/A,,,,,
1*4*5*6*7*9|1,1*4*6*7*8|1,,,,N/A,N/A,N/A,,,,,
1*4*5*6*7*9|1,5*9|1,,,,N/A,N/A,N/A,,,,,
1*4*5*6*7*9|1,1*2*4*5*9|1,,,,N/A,N/A,N/A,,,,,
1*4*5*6*7*9|1,2*4*5*7*9|1,,,,N/A,N/A,N/A,,,,,
1*4*5*6*7*9|1,3*6*9*10|1,,,,N/A,N/A,N/A,,,,,
1*4*5*6*7*9|1,3*4*6*7*9*10|1,,,,N/A,N/A,N/A,,,,,
1*4*5*6*7*9|1,4*7*8*11|1,,,,N/A,N/A,N/A,,,,,
1*4*5*6*7*9|1,2*10*11|1,,,,N/A,N/A,N/A,,,,,
1*4*5*6*7*9|1,4*10*11|1,,,,N/A,N/A,N/A,,,,,
1*4*5*6*7*9|1,4*6*10*11|1,,,,N/A,N/A,N/A,,,,,
1*4*5*6*7*9|1,4*5*6*7*10*11|1,,,,N/A,N/A,N/A,,,,,
2*4*5*6*7*9|1,3*4*5|1,,,,N/A,N/A,N/A,,,,,
2*4*5*6*7*9|1,2*4*7|1,,,,N/A,N/A,N/A,,,,,
2*4*5*6*7*9|1,6*7|1,,,,N/A,N/A,N/A,,,,,
2*4*5*6*7*9|1,1*8|1,,,,N/A,N/A,N/A,,,,,
